claim,Gaza,Gun Control,Racial Justice,Abortion,Immigration,Healthcare,Workers,Environment,Trump,LGBTplus,Musk
for ending U.S. aid to Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
against the moving of Milwaukee U.S. Immigrations and Customs facility to a larger building,0.0,,,,1.0,,,,,,
for protection for immigrants,0.0,,,,1.0,,,,,,
against mass deportations,0.0,,,,1.0,,,,,,
against cuts to state healthcare budget,0.0,,,,,1.0,,,,,
against closures of hospitals and healthcare clinics in Vermont,0.0,,,,,1.0,,,,,
for a fair contract for Costco workers,0.0,,,,,,1.0,,,,
against L3Harris's complicity in genocide in Gaza,1.0,,,,,,,,,,
against weapons manufacturing,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in celebration of ceasefire in Gaza,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for stricter gun control legislation,0.0,1.0,,,,,,,,,
against gun violence,0.0,1.0,,,,,,,,,
against potential deportations of immigrants in Saint Louis,0.0,,,,1.0,,,,,,
for access to resources for immigrants,0.0,,,,1.0,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against colonial violence,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against inhumane conditions for migrant detainees in Tacoma Northwest Detention Center,0.0,,,,1.0,,,,,,
for freeing all detained migrants,0.0,,,,1.0,,,,,,
for abolishing ICE,0.0,,,,1.0,,,,,,
against proposed repeal of city legislation establishing citizens police review board,0.0,,1.0,,,,,,,,
for community oversight of police,0.0,,1.0,,,,,,,,
against police brutality,0.0,,1.0,,,,,,,,
for police accountability,0.0,,1.0,,,,,,,,
for justice for jailed or imprisoned J6 participants,0.0,,,,,,,,,,
for patriotism,0.0,,,,,,,,,,
for Christian values,0.0,,,,,,,,,,
against Donald Trump's nomination of Liberty Energy oil executive Chris Wright for U.S. Secretary of Energy,0.0,,,,,,,1.0,1.0,,
for climate action,0.0,,,,,,,1.0,1.0,,
for Palestinian liberation,1.0,,,,,,,,,,
for ratification of the Equal Rights Amendment,0.0,,,1.0,,,,,,,
for women's rights,0.0,,,1.0,,,,,,,
for a fair contract for Costco workers,0.0,,,,,,1.0,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in celebration of ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ratification of the Equal Rights Amendment,0.0,,,1.0,,,,,,,
for women's rights,0.0,,,1.0,,,,,,,
for a ceasefire in Israel and Palestine,1.0,,,,,,,,,,
for the release of all hostages and prisoners,1.0,,,,,,,,,,
for humanitarian aid to all who are suffering in the war-torn regions,1.0,,,,,,,,,,
against genocide and displacement in Gaza,1.0,,,,,,,,,,
for accountability for war crimes in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for reversing changes to state Emergency Assistance and overflow family shelter rules,0.0,,,,,,,,,,
against evictions of families with children from homeless shelters,0.0,,,,,,,,,,
for more state funding for homeless shelters and rehousing services,0.0,,,,,,,,,,
for affordable housing,0.0,,,,,,,,,,
against genocide and displacement in Gaza,1.0,,,,,,,,,,
for accountability for war crimes in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against suspensions and evictions of University of Chicago students who participated in Palestine solidarity protest,1.0,,,,,,,,,,
for divesting University of Chicago from Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide and displacement in Gaza,1.0,,,,,,,,,,
for accountability for war crimes in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for ending U.S. aid to Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide and displacement in Gaza,1.0,,,,,,,,,,
for accountability for war crimes in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against Birthright Israel event,1.0,,,,,,,,,,
against Zionism,1.0,,,,,,,,,,
against occupation and ethnic cleansing in Palestine,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in support of refugees,0.0,,,,1.0,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
against apartheid,1.0,,,,,,,,,,
against genocide,1.0,,,,,,,,,,
against occupation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for urgent climate action,0.0,,,,,,,1.0,,1.0,
for holding fossil fuel companies accountable for climate change,0.0,,,,,,,1.0,,1.0,
for big oil companies to support wildfire relief,0.0,,,,,,,1.0,,1.0,
for big oil compaines to aid California's transition to clean energy,0.0,,,,,,,1.0,,1.0,
against racism,0.0,,1.0,,,,,,,,
against police brutality,0.0,,1.0,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for ending U.S. aid to Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
against Citibank's continuing funding for fossil fuel projects,0.0,,,,,,,1.0,,,
for climate action,0.0,,,,,,,1.0,,,
against Chase Bank's continuing funding for fossil fuel projects,0.0,,,,,,,1.0,,,
for climate action,0.0,,,,,,,1.0,,,
for action by Mayor Eric Adams and the New York City Council to protect immigrant New Yorkers from Donald Trump's planned mass deportations and family separations,0.0,,,,1.0,,,,1.0,,
against genocide and displacement in Gaza,1.0,,,,,,,,,,
for accountability for war crimes in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against U.S. Representative Jake Auchincloss's support for Israel,1.0,,,,,,,,,,
for arms embargo on Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in solidarity with Gaza,1.0,,,,,,,,,,
for Palestinians' right of return,1.0,,,,,,,,,,
for reparations to Palestinians,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against U.S. Senator Mark Kelly's support for Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide and displacement in Gaza,1.0,,,,,,,,,,
for accountability for war crimes in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for a fair contract for Costco workers,0.0,,,,,,1.0,,,,
against genocide and displacement in Gaza,1.0,,,,,,,,,,
for accountability for war crimes in Gaza,1.0,,,,,,,,,,
against Zionism,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide and displacement in Gaza,1.0,,,,,,,,,,
for accountability for war crimes in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against U.S. and Israeli imperialism in the Middle East,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against inhumane conditions for migrant detainees in Tacoma Northwest Detention Center,0.0,,,,1.0,,,,,,
for freeing all detained migrants,0.0,,,,1.0,,,,,,
for abolishing ICE,0.0,,,,1.0,,,,,,
against Donald Trump,1.0,,,1.0,1.0,,,,1.0,1.0,
for Palestinian liberation,1.0,,,1.0,1.0,,,,1.0,1.0,
for immigrant rights,1.0,,,1.0,1.0,,,,1.0,1.0,
for women's rights,1.0,,,1.0,1.0,,,,1.0,1.0,
for LGBTQ rights,1.0,,,1.0,1.0,,,,1.0,1.0,
for arms embargo on Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for justice for jailed or imprisoned J6 participants,0.0,,,,,,,,,,
for patriotism,0.0,,,,,,,,,,
for Christian values,0.0,,,,,,,,,,
against genocide and displacement in Gaza,1.0,,,,,,,,,,
for accountability for war crimes in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
"against the United States sending weapons to Israel, for Palestinian liberation",1.0,,,,,,,,,,
against President Biden's support for Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide and displacement in Gaza,1.0,,,,,,,,,,
for accountability for war crimes in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ratification of the Equal Rights Amendment,0.0,,,1.0,,,,,,,
for women's rights,0.0,,,1.0,,,,,,,
against Donald Trump,0.0,,,1.0,,,,,1.0,,
for women's rights,0.0,,,1.0,,,,,1.0,,
for reproductive rights,0.0,,,1.0,,,,,1.0,,
for freedom,0.0,,,1.0,,,,,1.0,,
for Palestinian liberation,1.0,,,,,,,,,,
for peace,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for peace,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for climate action,0.0,,,,,,,1.0,,,
against U.S. militarism,0.0,,,,,,,1.0,,,
against Israel's attacks on hospitals and healthcare workers in Gaza,1.0,,,,,1.0,1.0,,,,
against genocide in Gaza,1.0,,,,,1.0,1.0,,,,
for Palestinian liberation,1.0,,,,,1.0,1.0,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for humanitarian assistance to Palestinians,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against Donald Trump,0.0,,,1.0,,,,,1.0,,
for women's rights,0.0,,,1.0,,,,,1.0,,
for reproductive rights,0.0,,,1.0,,,,,1.0,,
for freedom,0.0,,,1.0,,,,,1.0,,
for compassionate immigration reform,0.0,,,,1.0,,,,,,
in mourning for all victims of violence,0.0,,,,,,,,,,
against war,0.0,,,,,,,,,,
in defense of civil liberties,0.0,,,,,,,,,,
against anti-Islamic and anti-Semitic and anti-Hawaiian and all other forms of discrimination,0.0,,,,,,,,,,
for peace through justice in Hawai'i and around the world,0.0,,,,,,,,,,
in commemoration of the anniversary of the illegal overthrow of the Hawaiian Monarchy,0.0,,,,,,,,,,
for Indigenous sovereignty,0.0,,,,,,,,,,
against Mayor John Whitmire's support for Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in celebration of ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against imperialism and Zionism,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against police violence,0.0,,1.0,,,,,,,,
for police accountability,0.0,,1.0,,,,,,,,
for radical change,0.0,,1.0,,,,,,,,
against racism,0.0,,1.0,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against racism,0.0,,1.0,,,,,,,,
against police brutality,0.0,,1.0,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for peace,1.0,,,,,,,,,,
against Israel's war on Gaza and Lebanon,1.0,,,,,,,,,,
against U.S. aid to Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for ending U.S. aid to Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for ceasefire in Israel/Palestine,1.0,,,,,,,,,,
for peace,1.0,,,,,,,,,,
against U.S. Representative Dan Goldman's support for Israel,1.0,,,,,,,,,,
for ending U.S. aid to Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for permanent ceasefire in Gaza,1.0,,,,,,,,,,
against genocide and occupation,1.0,,,,,,,,,,
for arms embargo on Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for ending U.S. aid to Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for a ceasefire in Gaza,1.0,,,,,,,,,,
for arms embargo on Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for peace and justice,1.0,,,,,,,,,,
for peace,0.0,1.0,1.0,,,,,1.0,,,
against war,0.0,1.0,1.0,,,,,1.0,,,
for banning nuclear weapons,0.0,1.0,1.0,,,,,1.0,,,
for ending gun violence,0.0,1.0,1.0,,,,,1.0,,,
for racial justice,0.0,1.0,1.0,,,,,1.0,,,
for gender justice,0.0,1.0,1.0,,,,,1.0,,,
for protecting the environment from unchecked climate change,0.0,1.0,1.0,,,,,1.0,,,
for climate action,0.0,,,,,,,1.0,,,
for immediate and permanent ceasefire in Gaza,1.0,,,,,,,,,,
for peace,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for peace,0.0,,,,,,,1.0,,,
for police accountability,0.0,,,,,,,1.0,,,
for climate justice,0.0,,,,,,,1.0,,,
against racism,1.0,,1.0,,,,,,,,
against police brutality,1.0,,1.0,,,,,,,,
for Indigenous peoples' rights,1.0,,1.0,,,,,,,,
for Palestinian liberation,1.0,,1.0,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for accountability for Israel's war crimes,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in remembrance of Palestinians killed by Israel,1.0,,,,,,,,,,
against false promises of prolonged ceasefire,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for immediate and permanent ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ending use of fossil fuels,0.0,,,,,,,1.0,,,
for climate action,0.0,,,,,,,1.0,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against inhumane conditions for migrant detainees in Tacoma Northwest Detention Center,0.0,,,,1.0,,,,,,
for freeing all detained migrants,0.0,,,,1.0,,,,,,
for abolishing ICE,0.0,,,,1.0,,,,,,
for ending Israel's occupation of Palestine,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
"for celebrating MLK Day with community engagement, for standing up for social justice and civil rights, for peaceful activism and nonviolent change",0.0,,,,,,,,,,
for justice for jailed or imprisoned J6 participants,0.0,,,,,,,,,,
for patriotism,0.0,,,,,,,,,,
for Christian values,0.0,,,,,,,,,,
against the Anti-Defamation League,1.0,,,,,,,,,,
against Zionism,1.0,,,,,,,,,,
for anti-Zionist Judaism,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against Archivist of the United States Coleen Shogan's refusal to publish the Equal Rights Amendment,0.0,,,1.0,,,,,,,
for women's rights,0.0,,,1.0,,,,,,,
Coleen Shogan what do you say! publish ERA today!,0.0,,,1.0,,,,,,,
ERA now,0.0,,,1.0,,,,,,,
against racism,0.0,,1.0,,,,,,,,
in solidarity with the Black Lives Matter movement,0.0,,1.0,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for peace,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for permanent ceasefire in Gaza and West Bank,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
in remembrance of Tortuguita,0.0,,1.0,,,,,1.0,,,
against fascism,0.0,,1.0,,,,,1.0,,,
for environmental justice,0.0,,1.0,,,,,1.0,,,
for racial justice,0.0,,1.0,,,,,1.0,,,
for community building,0.0,,1.0,,,,,1.0,,,
against construction of Cop City police training center,0.0,,1.0,,,,,1.0,,,
against police brutality,0.0,,1.0,,,,,1.0,,,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against police violence,0.0,,,,,,,,,,
for police accountability,0.0,,,,,,,,,,
for community control over police,0.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against Donald Trump,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
